"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Заказ: Иван Светлый, сутки. Кнопка: внизу","3133","test_created_order[customer_data0-rent_data0-button0]","tests","2026-08-21","passed","2026-08-21","TestOrderForm","test_order_form","",""
"Заказ: Иван Светлый, сутки. Кнопка: вверху","3285","test_created_order[customer_data0-rent_data0-button1]","tests","2026-08-21","passed","2026-08-21","TestOrderForm","test_order_form","",""
"","824","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
"","802","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
"","824","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
"","871","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
"Заказ: Галина Смирнова, трое суток. Кнопка: вверху","3143","test_created_order[customer_data1-rent_data1-button1]","tests","2026-08-21","passed","2026-08-21","TestOrderForm","test_order_form","",""
"","566","Переход на главную страницу сервиса при клике на логотип ""Самокат"" в шапке","tests","2026-08-21","passed","2026-08-21","TestLogoRedirect","test_navigate","",""
"Заказ: Галина Смирнова, трое суток. Кнопка: внизу","3134","test_created_order[customer_data1-rent_data1-button0]","tests","2026-08-21","passed","2026-08-21","TestOrderForm","test_order_form","",""
"","864","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
"","4172","Переход на страницу ""Дзена"" при клике на лого ""Яндекс""","tests","2026-08-21","passed","2026-08-21","TestLogoRedirect","test_navigate","",""
"","833","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
"","822","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
"","847","Проверяем выпадающий список вопросы-ответы","tests","2026-08-21","passed","2026-08-21","TestsMainPage","test_main_page","",""
